2026-04-19 20:59:46,485 - INFO - ================begin=================
2026-04-19 20:59:46,833 - INFO - code000001.SZ,dateBegin:2008-02-18 00:00:00,buyPrice:7.41,endDate:20080221,endPrice:6.95.result:lose
2026-04-19 20:59:47,209 - INFO - code000002.SZ,dateBegin:2002-12-20 00:00:00,buyPrice:0.51,endDate:20030102,endPrice:0.47.result:lose
2026-04-19 20:59:47,872 - INFO - code000004.SZ,dateBegin:1996-07-12 00:00:00,buyPrice:nan.result:holding
2026-04-19 20:59:48,124 - INFO - code000006.SZ,dateBegin:2018-09-04 00:00:00,buyPrice:4.65,endDate:20180910,endPrice:4.38.result:lose
2026-04-19 20:59:48,393 - INFO - code000007.SZ,dateBegin:2010-01-19 00:00:00,buyPrice:5.15,endDate:20100120,endPrice:4.88.result:lose
2026-04-19 20:59:49,083 - INFO - code000008.SZ,dateBegin:1995-09-29 00:00:00,buyPrice:nan.result:holding
2026-04-19 20:59:49,758 - INFO - code000009.SZ,dateBegin:1993-09-17 00:00:00,buyPrice:nan.result:holding
2026-04-19 20:59:50,384 - INFO - code000010.SZ,dateBegin:1997-08-22 00:00:00,buyPrice:nan.result:holding
2026-04-19 20:59:50,771 - INFO - code000011.SZ,dateBegin:2006-07-31 00:00:00,buyPrice:2.49,endDate:20060802,endPrice:2.36.result:lose
2026-04-19 20:59:50,998 - INFO - code:000012.SZ,dateBegin:2019-10-02 00:00:00,buyPrice:3.74,endDate:20191217,endPrice:4.16.result:win
2026-04-19 20:59:51,661 - INFO - code000014.SZ,dateBegin:1993-10-21 00:00:00,buyPrice:nan.result:holding
2026-04-19 20:59:52,393 - INFO - code000016.SZ,dateBegin:1995-12-31 00:00:00,buyPrice:nan.result:holding
2026-04-19 20:59:53,095 - INFO - code000017.SZ,dateBegin:1997-05-01 00:00:00,buyPrice:nan.result:holding
2026-04-19 20:59:53,413 - INFO - code000019.SZ,dateBegin:2014-10-12 00:00:00,buyPrice:4.65,endDate:20141017,endPrice:4.33.result:lose
2026-04-19 20:59:54,101 - INFO - code000020.SZ,dateBegin:1997-10-04 00:00:00,buyPrice:nan.result:holding
2026-04-19 20:59:54,750 - INFO - code000021.SZ,dateBegin:1998-09-04 00:00:00,buyPrice:nan.result:holding
2026-04-19 20:59:55,424 - INFO - code001872.SZ,dateBegin:2000-08-24 00:00:00,buyPrice:nan.result:holding
2026-04-19 20:59:55,606 - INFO - code000025.SZ,dateBegin:2022-09-23 00:00:00,buyPrice:20.75,endDate:20220926,endPrice:19.12.result:lose
2026-04-19 20:59:56,339 - INFO - code000026.SZ,dateBegin:1994-11-16 00:00:00,buyPrice:nan.result:holding
2026-04-19 20:59:56,650 - INFO - code:000027.SZ,dateBegin:2011-01-29 00:00:00,buyPrice:3.29,endDate:20110425,endPrice:3.65.result:win
2026-04-19 20:59:56,944 - INFO - code:000028.SZ,dateBegin:2012-11-20 00:00:00,buyPrice:19.45,endDate:20121225,endPrice:21.57.result:win
2026-04-19 20:59:57,246 - INFO - code:000029.SZ,dateBegin:2009-06-22 00:00:00,buyPrice:4.77,endDate:20090701,endPrice:5.32.result:win
2026-04-19 20:59:57,432 - INFO - code000030.SZ,dateBegin:2022-07-28 00:00:00,buyPrice:5.39,endDate:20220802,endPrice:5.06.result:lose
2026-04-19 20:59:58,107 - INFO - code000031.SZ,dateBegin:2000-05-11 00:00:00,buyPrice:nan.result:holding
2026-04-19 20:59:58,306 - INFO - code000032.SZ,dateBegin:2023-08-08 00:00:00,buyPrice:30.03,endDate:20230811,endPrice:27.88.result:lose
2026-04-19 20:59:58,662 - INFO - code000034.SZ,dateBegin:2008-03-23 00:00:00,buyPrice:6.41,endDate:20080714,endPrice:4.64.result:lose
2026-04-19 20:59:59,336 - INFO - code000035.SZ,dateBegin:1998-04-02 00:00:00,buyPrice:nan.result:holding
2026-04-19 21:00:00,062 - INFO - code000036.SZ,dateBegin:1995-12-21 00:00:00,buyPrice:nan.result:holding
2026-04-19 21:00:00,401 - INFO - code000037.SZ,dateBegin:2006-11-07 00:00:00,buyPrice:4.32,endDate:20061113,endPrice:3.96.result:lose
2026-04-19 21:00:01,064 - INFO - code000039.SZ,dateBegin:1998-01-04 00:00:00,buyPrice:nan.result:holding
2026-04-19 21:00:01,295 - INFO - code:000042.SZ,dateBegin:2024-06-30 00:00:00,buyPrice:3.92,endDate:20240701,endPrice:4.35.result:win
2026-04-19 21:00:01,490 - INFO - code001914.SZ,dateBegin:2022-07-12 00:00:00,buyPrice:16.68,endDate:20220715,endPrice:15.77.result:lose
2026-04-19 21:00:01,718 - INFO - code000045.SZ,dateBegin:2018-07-12 00:00:00,buyPrice:6.61,endDate:20180906,endPrice:6.24.result:lose
2026-04-19 21:00:01,892 - INFO - code000048.SZ,dateBegin:2023-12-09 00:00:00,buyPrice:18.37,endDate:20231221,endPrice:16.9.result:lose
2026-04-19 21:00:02,245 - INFO - code:000049.SZ,dateBegin:2005-07-09 00:00:00,buyPrice:1.57,endDate:20050808,endPrice:1.73.result:win
2026-04-19 21:04:43,846 - INFO - ================begin=================
2026-04-19 21:04:52,156 - INFO - code:000001.SZ,dateBegin:2006-03-09 00:00:00,buyPrice:1.15,endDate:20060411,endPrice:1.29.result:win
2026-04-19 21:04:59,642 - INFO - code000002.SZ,dateBegin:2023-12-01 00:00:00,buyPrice:11.33,endDate:20231211,endPrice:10.63.result:lose
2026-04-19 21:05:03,459 - INFO - code:000004.SZ,dateBegin:2015-07-31 00:00:00,buyPrice:28.97,endDate:20150805,endPrice:32.95.result:win
2026-04-19 21:05:06,656 - INFO - code000006.SZ,dateBegin:2006-03-22 00:00:00,buyPrice:0.88,endDate:20060417,endPrice:0.83.result:lose
2026-04-19 21:08:24,021 - INFO - ================begin=================
2026-04-19 21:09:15,961 - INFO - code000001.SZ,dateBegin:2025-03-07 00:00:00,buyPrice:11.02,endDate:20250407,endPrice:10.16.result:lose
2026-04-19 21:09:24,397 - INFO - ================begin=================
2026-04-19 21:09:26,076 - INFO - code:000001.SZ,dateBegin:2015-11-01 00:00:00,buyPrice:7.16,endDate:20151106,endPrice:7.92.result:win
